title,url,thumbnail_url,channel,description
"Sonic the Hedgehog 2 (2022) - ""Official Trailer"" - Paramount Pictures",https://www.youtube.com/watch?v=G5kzUpWAusI,https://i.ytimg.com/vi/G5kzUpWAusI/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAW3kIDRvhvVU_RLVMuLqLlBUVzcg,Paramount Pictures,"The world’s favorite blue hedgehog is back for a next-level adventure in SONIC THE HEDGEHOG 2. After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero...."
Tom Holland Calls for a Doctor While Eating Spicy Wings | Hot Ones,https://www.youtube.com/watch?v=qxGmGGmvFD8,https://i.ytimg.com/vi/qxGmGGmvFD8/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCv9S1kQVUuYgaiPzdIpvtzxkuvew,First We Feast,"Tom Holland began his career at 12 years old in the West End production of Billy Elliot, and now he's one of Hollywood's biggest box office draws, from award-winning performances in The Impossible,..."
Star Wars Eclipse – Official Cinematic Reveal Trailer,https://www.youtube.com/watch?v=4cJpiOPKH14,https://i.ytimg.com/vi/4cJpiOPKH14/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCzc5ZoRVo00jZJyInW55CErkw7UA,Star Wars,"Star Wars Eclipse™ is the newest adventure in the High Republic era, now early in development by Quantic Dream. Learn more on www.StarWarsEclipse.com. Set during the High Republic era,..."
Juice WRLD - Burn (Official Music Video),https://www.youtube.com/watch?v=HA1srD2DwaI,,Juice WRLD,"Juice WRLD ""Fighting Demons"" is available now: https://JuiceWrld.lnk.to/FightingDemons Directed by Steve Cannon Produced by Grade A Films Subscribe to the official Juice WRLD channel for new..."
OUR NEW HOUSE TOUR! *EXCLUSIVE*,https://www.youtube.com/watch?v=RsdGGeDWl_Q,,The ACE Family,OUR NEW HOUSE TOUR! *EXCLUSIVE* **ACE FAMILY MERCH HERE: shopacefamily.com LAST VIDEO: https://www.youtube.com/watch?v=xkhq3T6aw6Q&t=785s JOIN THE ACE FAMILY & SUBSCRIBE: http://bit.ly/THEACEFAM...
A Conversation with Travis Scott and Charlamagne Tha God,https://www.youtube.com/watch?v=FS9SvGvbSgw,,CThaGod,"Charlamagne Tha God and Travis Scott in his first interview since the tragedies at the Astroworld Festival. During this open conversation, Scott goes in depth about the events that occurred..."
Thank You All So Much.. Pat McAfee's MASSIVE Announcement,https://www.youtube.com/watch?v=OHY99OOtqiI,,The Pat McAfee Show,Thank you all so much. It's time for our MASSIVE announcement. Become a member! https://www.youtube.com/channel/UCxcTeAKWJca6XyJ37_ZoKIQ/join SUBSCRIBE: https://www.youtube.com/channel/UCxcTeAKWJc...
Sonic Frontiers - Announce Trailer,https://www.youtube.com/watch?v=RRkKZG1z9PY,,Sonic the Hedgehog,"Sonic Team presents...Sonic Frontiers, arriving Holiday 2022! An experience like never before, accelerate to new heights and experience the thrill of high velocity, open-zone freedom. Battle..."
He Owns The Moon,https://www.youtube.com/shorts/xyy9rqkEwc0,,Nas Daily,#shorts
Cobra Kai Season 4 | Official Trailer | Netflix,https://www.youtube.com/watch?v=I3uX4uwrAaY,,Netflix,"Every legacy. Every rivalry. Leads to this. Cobra Kai S4 premieres globally Dec 31, only on Netflix. COBRA KAI takes place over 30 years after the events of the 1984 All Valley Karate Tournament..."
